Part Name,Material Composition,Age (years),Condition,Location,Manufacturer,Aircraft Model,Potential Use Cases,New Parts Carbon Footprint (kg CO2e),Recycled Parts Carbon Footprint (kg CO2e),Water Usage - New Parts (liters),Water Usage - Recycled Parts (liters),Landfill Waste - New Parts (kg),Landfill Waste - Recycled Parts (kg),Energy Consumption - New Parts (kWh),Energy Consumption - Recycled Parts (kWh),Recycling Rate (%),Toxicity Score - New Parts,Toxicity Score - Recycled Parts,Remanufacturing Potential,Life Cycle Assessment,Renewable Material Content (%),Carbon Footprint Saved (kg CO2e),Water Usage Saved (liters),Landfill Waste Saved (kg),Energy Consumption Saved (kWh),Toxicity Score Difference,Remanufacturing Potential (%),Life Cycle Assessment Score
Landing Gear,Aluminum,21,Used,Australia,Boeing,737,Furniture,939,37,2880,426,926,99,1864,466,67.2923329782989,5.65950446428547,3.94044876993684,0.294817729414479,34.1901632931329,28.5522259254001,902,2454,827,1398,1.71905569434862,29.4817729414479,34.1901632931329
Engine,Aluminum,42,New,North America,Boeing,Citation X,Furniture,527,109,9984,297,374,187,636,116,83.5342269645816,2.29075438114984,3.93429311698583,0.236313346216994,26.1286084487724,50.7357267988101,418,9687,187,520,-1.64353873583598,23.6313346216994,26.1286084487724
Avionics,Titanium,11,Used,Africa,Boeing,Citation X,Art Installations,337,46,3902,962,306,117,1763,455,50.89648382494,9.44620056364698,4.34092987929558,0.148533955943925,12.8530375012665,85.997825548202,291,2940,189,1308,5.1052706843514,14.8533955943925,12.8530375012665
Avionics,Steel,48,Used,Africa,Embraer,737,Building Materials,480,81,6010,895,990,187,1989,484,83.0569820061941,3.47121680851853,2.39787469156793,0.398985133498243,34.9647445510098,35.7123585122785,399,5115,803,1505,1.07334211695059,39.8985133498243,34.9647445510098
Engine,Steel,7,Used,South America,Boeing,737,Aircraft Maintenance,379,109,6326,848,787,118,3651,133,64.3421720197847,4.80895436645747,3.59307659351506,0.815403538128981,47.1749405084895,64.9471691430624,270,5478,669,3518,1.21587777294241,81.5403538128981,47.1749405084895
Landing Gear,Aluminum,9,Used,Europe,Bombardier,Citation X,Automotive Components,648,167,2719,809,290,42,1381,191,57.5648915450284,8.61058864945556,3.40972458463689,0.613621627974608,98.1275129579233,39.0392384588917,481,1910,248,1190,5.20086406481866,61.3621627974608,98.1275129579233
Engine,Aluminum,26,New,Australia,Bombardier,737,Automotive Components,944,192,5048,391,652,78,4183,119,62.36111640668,3.14523844818762,4.8874366218266,0.222008823205036,2.31008905223881,77.6664479345877,752,4657,574,4064,-1.74219817363897,22.2008823205036,2.31008905223881
Landing Gear,Titanium,3,New,Australia,Cessna,A320,Automotive Components,940,34,7560,611,246,93,3000,417,55.0431338874041,6.8900058277546,3.27990431341055,0.989184790910084,16.0467516951128,55.2658118514633,906,6949,153,2583,3.61010151434404,98.9184790910084,16.0467516951128
Landing Gear,Composite,35,New,South America,Gulfstream,E175,Art Installations,924,53,8824,540,204,26,819,135,92.2183954821685,7.32483963491525,2.06797989552766,0.872330720639952,76.9233714045411,87.1642700807198,871,8284,178,684,5.25685973938759,87.2330720639952,76.9233714045411
Engine,Titanium,45,Used,Europe,Bombardier,A320,Furniture,180,57,2278,611,396,123,3426,170,82.3585804173698,5.84438938502921,2.21912965456667,0.347390189582918,90.8091623541286,64.206659354009,123,1667,273,3256,3.62525973046253,34.7390189582918,90.8091623541286
Avionics,Composite,12,New,Australia,Bombardier,Citation X,Aircraft Maintenance,754,113,8605,235,716,96,4298,285,55.1078387726272,1.29704994111381,1.75094956656385,0.160480245489862,25.7533668490722,34.4200758404091,641,8370,620,4013,-0.453899625450038,16.0480245489862,25.7533668490722
Landing Gear,Steel,32,Used,North America,Boeing,737,Automotive Components,967,160,3495,534,793,196,510,293,89.5433926236156,7.12212391579505,4.87079504312648,0.127398459333588,7.15646662778599,74.4971153176773,807,2961,597,217,2.25132887266856,12.7398459333588,7.15646662778599
Avionics,Steel,34,Used,Asia,Cessna,A320,Automotive Components,139,88,5632,737,657,177,3540,294,64.6040777438861,5.98222360389474,4.66578722754901,0.0777945827761517,38.2214802426128,37.4728843338057,51,4895,480,3246,1.31643637634572,7.77945827761517,38.2214802426128
Avionics,Steel,45,Used,Asia,Embraer,A320,Furniture,364,116,1957,582,593,77,955,474,52.747987314903,2.92405608153529,4.21776448566392,0.407090861449298,30.3097382847545,0.755953442492196,248,1375,516,481,-1.29370840412862,40.7090861449298,30.3097382847545
Landing Gear,Aluminum,46,Used,North America,Bombardier,G650,Building Materials,326,35,1634,449,628,143,4698,188,63.4576719150864,8.01821615164999,2.62856094091027,0.0781399972034739,58.0693715799666,64.5459649043396,291,1185,485,4510,5.38965521073972,7.81399972034739,58.0693715799666
Avionics,Steel,9,Used,Australia,Airbus,E175,Building Materials,774,86,6082,749,479,101,1547,265,83.3872257835916,3.41733776168748,2.99446438301559,0.406875042223647,27.4122840666158,87.2328842283911,688,5333,378,1282,0.422873378671893,40.6875042223647,27.4122840666158
Fuselage,Composite,3,New,North America,Gulfstream,Citation X,Furniture,426,162,4986,800,455,185,4554,175,54.7118217293415,9.02030125643562,1.80597660991433,0.638606916422613,67.7184365537273,62.3013519620145,264,4186,270,4379,7.21432464652128,63.8606916422613,67.7184365537273
Engine,Aluminum,3,Used,Africa,Embraer,E175,Art Installations,601,161,7911,946,850,81,3748,362,53.2292918725686,3.62470680802333,2.29519376561227,0.0170016698038737,86.8590718128395,54.4683258889979,440,6965,769,3386,1.32951304241105,1.70016698038737,86.8590718128395
Wing,Titanium,22,New,Africa,Embraer,G650,Art Installations,804,128,1874,249,353,60,744,228,73.6133370091478,1.85805771713245,3.47114847595686,0.973670333598937,36.2064095756827,2.02647320299875,676,1625,293,516,-1.6130907588244,97.3670333598937,36.2064095756827
Avionics,Steel,49,Used,North America,Embraer,A320,Aircraft Maintenance,360,29,4372,559,564,183,2457,301,74.8986085740921,7.6136080833246,2.68458787151103,0.516137470725481,46.4003730924545,23.4805391592417,331,3813,381,2156,4.92902021181357,51.6137470725481,46.4003730924545
Landing Gear,Steel,43,Used,North America,Airbus,G650,Art Installations,878,25,8554,756,850,194,1628,140,60.2308263560202,5.98604040518945,4.96307654655508,0.948089311620563,88.9100289252176,42.9172022087658,853,7798,656,1488,1.02296385863437,94.8089311620563,88.9100289252176
Wing,Steel,6,Used,Europe,Gulfstream,G650,Furniture,845,74,2036,834,689,51,4956,462,55.8791972714366,7.84715588250941,4.1642978280016,0.973477069750643,29.9061165728476,18.6831781458814,771,1202,638,4494,3.6828580545078,97.3477069750643,29.9061165728476
Fuselage,Composite,34,Used,South America,Bombardier,G650,Building Materials,227,57,8824,822,235,37,2119,398,59.8617548950844,3.07243516687761,3.1436370415735,0.368973351748413,57.15230896516,57.1081123549934,170,8002,198,1721,-0.0712018746958982,36.8973351748413,57.15230896516
Wing,Aluminum,46,Used,Asia,Embraer,E175,Building Materials,860,134,8872,247,558,42,1992,231,64.8521620140473,1.07947347120681,4.62279327953191,0.288993568350523,64.457149436517,32.6526824100983,726,8625,516,1761,-3.54331980832509,28.8993568350523,64.457149436517
Landing Gear,Composite,45,Used,Asia,Gulfstream,CRJ900,Aircraft Maintenance,752,135,2866,688,783,85,1187,495,86.1328939719699,7.69918318859372,3.33822262229208,0.0203805032951205,19.9545126225072,89.1137323564783,617,2178,698,692,4.36096056630164,2.03805032951205,19.9545126225072
Wing,Aluminum,7,New,South America,Embraer,737,Building Materials,151,100,5473,958,484,62,2665,490,62.1960919451957,6.25938890971566,1.01695212969638,0.691742806889519,54.206616498909,53.9284521966416,51,4515,422,2175,5.24243678001927,69.1742806889519,54.206616498909
Engine,Composite,44,Used,South America,Cessna,737,Furniture,178,128,5478,808,114,183,4969,431,67.6803781970317,7.94445562128773,1.84191804492188,0.151456496139222,38.9117677329409,43.4681106321513,50,4670,-69,4538,6.10253757636584,15.1456496139222,38.9117677329409
Avionics,Composite,27,New,Africa,Bombardier,737,Art Installations,718,88,1328,682,442,59,3892,360,51.5478812763856,2.3644232100014,4.2164452077125,0.0648014147523274,29.4929748923592,46.5448314069194,630,646,383,3532,-1.85202199771109,6.48014147523274,29.4929748923592
Fuselage,Composite,15,New,South America,Bombardier,CRJ900,Building Materials,197,166,6512,662,751,26,1118,207,62.6431260791332,7.75834684831393,4.65240959354691,0.984671972158735,92.6174204232723,85.2283182485744,31,5850,725,911,3.10593725476701,98.4671972158735,92.6174204232723
Wing,Steel,28,New,South America,Airbus,E175,Aircraft Maintenance,565,129,3913,376,783,172,2057,499,89.9378477035645,8.08971980796437,2.8886317103403,0.0767524689211538,26.6741458279364,97.3125736102552,436,3537,611,1558,5.20108809762406,7.67524689211538,26.6741458279364
Landing Gear,Titanium,25,Used,Asia,Airbus,CRJ900,Automotive Components,424,39,5894,660,812,90,1982,271,71.3486239572364,2.58538741280626,4.64305227214892,0.469024510862164,71.077397969121,26.8175957796767,385,5234,722,1711,-2.05766485934266,46.9024510862164,71.077397969121
Fuselage,Steel,13,Used,Asia,Boeing,737,Automotive Components,476,28,4903,617,675,143,1228,429,94.6081699899867,2.79394132348058,1.04224760110691,0.391773382389132,64.1021282506054,12.948800970155,448,4286,532,799,1.75169372237367,39.1773382389132,64.1021282506054
Wing,Titanium,3,Used,Asia,Embraer,E175,Aircraft Maintenance,442,172,3517,819,964,97,2650,229,83.2487342146568,1.28521615406667,2.63161793248563,0.814324827912685,64.2545103680227,95.9800646771481,270,2698,867,2421,-1.34640177841896,81.4324827912685,64.2545103680227
Fuselage,Titanium,20,Used,Africa,Cessna,A320,Art Installations,446,106,3922,417,547,120,4772,274,55.268535632106,5.64502083906766,2.03264868837529,0.22414713566579,92.1768301475588,33.7409387053295,340,3505,427,4498,3.61237215069237,22.414713566579,92.1768301475588
Engine,Steel,3,Used,Africa,Embraer,G650,Aircraft Maintenance,283,190,3631,968,928,137,1668,274,88.9363532198793,4.68147928301124,3.36864470088691,0.653517179488141,87.8853466024463,34.0600151406615,93,2663,791,1394,1.31283458212432,65.3517179488141,87.8853466024463
Fuselage,Aluminum,32,Used,Africa,Gulfstream,A320,Furniture,301,43,2565,344,926,53,828,167,72.6693997965861,6.19784252378749,3.91545983875798,0.612956557841129,40.6836036988159,56.4189101747518,258,2221,873,661,2.28238268502951,61.2956557841129,40.6836036988159
Landing Gear,Titanium,35,New,Asia,Embraer,E175,Automotive Components,461,76,6487,440,970,197,3215,340,81.6540620853626,3.59457880046002,4.61489048963942,0.832279975978821,36.7480541070605,34.6947435476975,385,6047,773,2875,-1.0203116891794,83.2279975978821,36.7480541070605
Avionics,Aluminum,22,New,Asia,Airbus,Citation X,Art Installations,918,30,3974,888,367,47,1871,475,91.392858080954,5.82956394196207,3.39600884125203,0.447382676883246,21.1388678201278,15.9809530725144,888,3086,320,1396,2.43355510071004,44.7382676883247,21.1388678201278
Wing,Composite,7,Used,Africa,Airbus,Citation X,Automotive Components,160,137,9117,789,436,148,2113,383,62.3235278428582,2.11460205824949,2.99363463669325,0.558255225068459,8.80612861474589,68.0402280972642,23,8328,288,1730,-0.879032578443751,55.8255225068459,8.80612861474589
Engine,Composite,46,Used,Asia,Gulfstream,A320,Automotive Components,749,195,3411,953,100,68,1770,165,76.5252823366501,3.55927464807894,4.03287143762369,0.926374170776304,94.8869128632041,45.6445112107991,554,2458,32,1605,-0.473596789544752,92.6374170776304,94.8869128632041
Fuselage,Steel,7,New,Australia,Boeing,G650,Building Materials,697,164,4231,589,174,36,2242,225,64.6507987704245,1.60701062792135,3.0255490467361,0.278261404779762,91.4262260298121,4.66589633021189,533,3642,138,2017,-1.41853841881474,27.8261404779762,91.4262260298121
Avionics,Titanium,45,New,South America,Airbus,G650,Aircraft Maintenance,497,190,7846,500,268,125,1073,238,65.9038972722385,4.64108741512272,2.24590986132652,0.420303312327543,52.806358105905,46.0284974321749,307,7346,143,835,2.39517755379619,42.0303312327543,52.806358105905
Engine,Composite,12,Used,Africa,Cessna,G650,Art Installations,696,99,9393,826,661,191,2601,183,67.1633479452233,1.12367167668209,3.50638456012452,0.98360459367968,35.6632068288539,58.8744118620632,597,8567,470,2418,-2.38271288344242,98.360459367968,35.6632068288539
Avionics,Steel,42,New,South America,Bombardier,Citation X,Aircraft Maintenance,744,31,1779,602,404,184,1326,290,50.7432768163989,4.22401216597921,4.38082369546812,0.267169580408078,31.3530434734491,90.2055536474215,713,1177,220,1036,-0.156811529488911,26.7169580408078,31.3530434734491
Landing Gear,Titanium,44,Used,Africa,Gulfstream,Citation X,Building Materials,960,140,6934,558,357,191,3454,147,94.989845424659,5.92635507821007,3.02769961702571,0.782033806363042,45.0398441185507,65.6899526112236,820,6376,166,3307,2.89865546118436,78.2033806363042,45.0398441185507
Fuselage,Aluminum,3,New,South America,Bombardier,G650,Art Installations,381,24,2333,961,281,104,1898,218,92.2294422732386,4.94335236150405,3.75286249704725,0.484029217103303,59.2696930825128,39.8795334511459,357,1372,177,1680,1.1904898644568,48.4029217103303,59.2696930825128
Avionics,Titanium,47,Used,South America,Embraer,G650,Furniture,990,139,3469,727,455,103,2016,123,53.5769965283606,8.68137399308178,2.42355623400393,0.549649018724423,54.2529093839824,55.0168734301105,851,2742,352,1893,6.25781775907785,54.9649018724423,54.2529093839824
Landing Gear,Titanium,46,New,South America,Embraer,A320,Furniture,707,88,5801,764,220,40,811,374,71.5278230637768,7.05206863281464,4.09669555026446,0.253402321133208,51.2049836375918,52.232367120259,619,5037,180,437,2.95537308255018,25.3402321133208,51.2049836375918
Engine,Titanium,45,New,Asia,Boeing,G650,Aircraft Maintenance,871,41,7677,399,222,70,4247,322,88.9447635739677,3.40219857346018,4.08869506685229,0.888583224054104,54.8618175726794,36.0844181894087,830,7278,152,3925,-0.68649649339211,88.8583224054104,54.8618175726794
Engine,Aluminum,21,Used,Australia,Embraer,737,Automotive Components,478,182,6512,710,906,127,2072,122,72.1234442537387,8.28644006253575,3.50301052476291,0.739208933279044,91.5848047224118,50.6740386716109,296,5802,779,1950,4.78342953777283,73.9208933279044,91.5848047224118
Landing Gear,Titanium,48,New,Asia,Gulfstream,A320,Building Materials,351,79,9273,254,303,190,1402,127,65.1210194068703,9.89889003084662,1.62420583737081,0.527296030744915,5.59210923040851,28.7802746314857,272,9019,113,1275,8.2746841934758,52.7296030744915,5.59210923040851
Engine,Titanium,37,New,Australia,Bombardier,737,Art Installations,494,38,5080,704,275,86,3049,316,89.5694611659591,7.26257289106451,3.84816793033808,0.0469602416187635,28.7492010115904,65.1235345073903,456,4376,189,2733,3.41440496072642,4.69602416187635,28.7492010115904
Wing,Composite,35,Used,Australia,Bombardier,G650,Automotive Components,530,165,6960,865,897,155,2510,364,52.9797955795129,4.69067921182814,2.72056919590475,0.36482384153075,83.8465703803049,25.7275632403852,365,6095,742,2146,1.97011001592338,36.482384153075,83.8465703803049
Wing,Composite,38,Used,North America,Boeing,G650,Building Materials,371,90,1031,442,534,160,4529,239,88.6687671829625,4.20023315211928,2.58995184088397,0.704949313638536,99.0646267957796,85.4649390800251,281,589,374,4290,1.61028131123531,70.4949313638536,99.0646267957796
Engine,Titanium,11,New,Europe,Embraer,E175,Art Installations,647,99,2714,246,758,99,3642,121,75.8043095210769,9.39428491010907,4.78579052271485,0.9130336033611,7.97798114340206,28.0645731604379,548,2468,659,3521,4.60849438739422,91.30336033611,7.97798114340206
